neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Caledonia-Fairbank,58,109,59,10,13,13,1,0,1,60,24,9955,6464,1490,1220,1325,12.1,825,5285,60,3585,230,235,860,890,0,160,10,30,10,6320,7.2,5040,2735,1565,14.967353088900051,12.255148166750377,13.309894525364138,8.287292817679557,53.088900050226016,0.6027122049221497,36.012054244098444,2.3103967855349072,2.360622802611753,8.63887493721748,8.940231039678553,0,1.607232546459066,0.10045203415369162,0.30135610246107486,0.10045203415369162,63.4856855851331,50.627825213460575,27.473631341034654,15.720743345052737
Casa Loma,51,096,43,5,19,1,7,0,0,43,13,10968,5683,1200,1080,2675,11.7,225,2885,95,1870,360,420,280,85,65,55,65,110,80,9025,6.6,5895,7255,1175,10.940919037199125,9.846827133479213,24.389132020423048,2.051422319474836,26.303792851932894,0.8661560904449308,17.049598832968634,3.282275711159737,3.8293216630196936,2.5528811086797956,0.774981765134938,0.5926331145149526,0.5014587892049599,0.5926331145149526,1.0029175784099198,0.7293946024799417,82.28482859226843,53.7472647702407,66.14697301239971,10.712983223924143
Centennial Scarborough,22,133,49,5,18,11,1,0,2,51,17,13362,2479,2150,1850,2385,5.3,115,4990,200,5810,2475,710,945,785,175,55,100,40,85,7525,7.6,6875,6640,4250,16.090405627900015,13.845232749588385,17.849124382577457,0.8606496033527915,37.34470887591678,1.49678191887442,43.4815147433019,18.522676246070947,5.313575812004191,7.072294566681634,5.874869031582099,1.3096841790151175,0.41161502769046554,0.74839095943721,0.299356383774884,0.6361323155216284,56.316419697650055,51.45187846130818,49.693159706630745,31.806615776081426
Church-Yonge Corridor,23,075,594,26,146,140,41,3,2,599,207,31340,23044,1260,5060,3010,25.8,695,10935,395,12440,2510,3835,1465,755,625,320,500,665,235,17880,8.5,14200,21580,8820,4.020421186981493,16.14550095724314,9.604339502233568,2.217613273771538,34.89151244416082,1.2603701340140394,39.6936821952776,8.008934269304403,12.236758136566687,4.67453733248245,2.409061901723038,1.994256541161455,1.0210593490746651,1.595405232929164,2.1218889597957884,0.7498404594767071,57.0516911295469,45.30950861518826,68.85768985322271,28.14294830887045
Clairlea-Birchmount,24,120,235,45,87,43,18,1,0,236,106,26984,3632,4565,3495,3630,16.2,375,13115,345,16110,6140,2120,2670,3140,160,250,185,110,180,10185,8.7,13825,10255,12125,16.917432552623776,12.952119774681293,13.45241624666469,1.3897124221761044,48.60287577823896,1.278535428402016,59.70204565668544,22.754224725763418,7.856507560035577,9.894752445893863,11.63652534835458,0.59294396679513794,0.9264749481174028,0.6855914616068781,0.40764897717165727,0.6670619626445301,37.744589386303,51.234064630892384,38.00400237177587,44.93403498369404
Clanton Park,47,033,57,50,41,4,6,1,0,58,60,16472,3979,2765,1910,2375,12.8,255,7485,60,6305,400,500,560,3315,155,210,165,175,50,10115,6.1,8665,8045,4815,16.786061194754737,11.595434677027683,14.418406993686256,1.5480815930063139,45.44074793589121,0.3642544924720738,38.27707625060709,2.428363283147159,3.0354541039339487,3.3997085964060223,20.125060709082078,0.940990772219524,1.2748907236522582,1.001699854298203,1.062408936376882,0.3035454103933949,61.40723652258377,52.604419621175325,48.84045653229723,29.231423020883923
Cliffcrest,25,123,110,10,59,25,3,0,0,110,38,15935,2273,2575,2145,2695,14.3,135,5835,200,6570,3000,765,990,775,80,60,165,55,90,9235,9.7,8180,6560,4910,16.159397552557266,13.460935048635081,16.91245685597741,0.8471917163476623,36.617508628804515,1.2550988390335738,41.229996862252904,18.82648258550361,4.80075305930342,6.212739253216191,4.863508001255099,0.5020395356134295,0.3765296517100722,1.0354565422026984,0.3451521807342328,0.5647944775651083,57.95418889237527,51.33354251647317,41.16724192030122,30.81267649827424
Corso Italia-Davenport,27,092,71,8,15,30,2,0,1,72,40,14133,7478,1910,1545,2015,13.2,1135,6095,140,3545,325,445,655,370,45,95,80,65,60,10570,7.2,7150,5200,1440,13.5144696808887,10.931861600509446,14.257411731408759,8.030849784193023,43.12601712304536,0.9905894006934125,25.083138753272483,2.2995825373239938,3.1486591664897756,4.634543267529895,2.617986273261162,0.3184037359371683,0.6721856647562443,0.5660510861105215,0.45991650746479873,0.4245383145828911,74.78949975235265,50.590815821127855,36.7933205971839,10.188919549989386
Danforth,13,066,88,6,41,26,4,0,0,88,36,9666,8554,1675,920,1515,13.5,85,2855,150,2480,705,820,340,90,25,65,30,65,90,7110,6.2,4890,4600,1865,17.32878129526174,9.517897786054212,15.673494723774054,0.8793709911028347,29.53651975998345,1.5518311607697082,25.656941858059177,7.293606455617629,8.483343678874405,3.5174839644113387,0.931098696461825,0.25863852679495136,0.6724601696668736,0.31036623215394166,0.6724601696668736,0.931098696461825,73.55679702048417,50.589695841092485,47.58948893027105,19.294434098903373
Danforth East York,10,059,41,12,42,4,4,0,0,41,20,17180,7881,3020,1450,2655,11.2,300,5575,250,5090,1030,1530,700,440,95,140,155,140,260,11985,6.9,8890,7970,3695,17.57857974388824,8.440046565774157,15.454016298020953,1.7462165308498252,32.45052386495926,1.4551804423748544,29.627473806752036,5.9953434225844005,8.90570430733411,4.074505238649592,2.5611175785797435,0.5529685681024448,0.8149010477299184,0.9022118742724098,0.8149010477299184,1.5133876600698486,69.76135040745052,51.74621653084982,46.39115250291036,21.50756693830035
Don Valley Village,118,047,137,27,66,25,8,0,1,138,60,27051,6441,4065,3280,4700,19.7,550,17865,40,19025,2890,6960,1285,2170,885,190,2450,835,135,7795,9.6,14130,14280,15630,15.027170899412221,12.125244907766811,17.374588739787807,2.03319655465602,66.041920816236,0.14786884033861966,70.33011718605597,10.683523714465268,25.729178218919817,4.750286495878156,8.021884588370115,3.27159809249196,0.7023769916084434,9.056966470740454,3.086762042068685,0.4990573361428413,28.815940260988505,52.23466784961739,52.78917600088722,57.77974936231563
