neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Old East York,50,058,48,6,26,10,2,1,1,50,18,9233,3997,1470,915,1520,11.5,110,3025,125,2470,295,745,265,430,30,190,100,55,65,6750,5,4705,4065,1880,15.921152388172857,9.91010505794433,16.462688183688943,1.1913787501353839,32.76291562872306,1.353839488790209,26.75186829849453,3.195061193544893,8.068883353189646,2.870139716235243,4.657207841438319,0.32492147730965015,2.057836022961118,1.083071591032167,0.5956893750676919,0.7039965341709087,73.10733239467129,50.958518358063465,44.0268601754576,20.361745911404743
Palmerston-Little Italy,107,080,70,18,39,24,6,0,1,71,48,13826,9601,1280,1465,1960,17.7,240,4100,160,2950,395,1135,330,95,55,85,75,200,125,10810,6.8,7145,7990,2110,9.257919861131201,10.595978591060321,14.176189787357153,1.7358599739621001,29.654274555185882,1.1572399826414002,21.336612179950816,2.856936207145957,8.209171126862433,2.386807464197888,0.6871112396933314,0.3978012440329814,0.6147837407782438,0.5424562418631563,1.4465499783017504,0.9040937364385939,78.1860263272096,51.67799797483003,57.789671633154924,15.261102271083466
Parkwoods-Donalda,108,045,177,26,47,34,3,0,3,180,63,34805,4691,5840,4680,5250,16.6,1025,17210,330,19075,3610,2875,3910,2435,1515,195,1600,580,225,15655,9.2,18335,15760,11520,16.77919839103577,13.44634391610401,15.08403964947565,2.9449791696595318,49.44691854618589,0.948139635109898,54.80534405976153,10.3720729780204,8.260307427093808,11.234018100847578,6.996121246947277,4.352822870277259,0.5602643298376669,4.597040655078293,1.6664272374658813,0.646458842120385,44.97916965953168,52.67921275678782,45.280850452521186,33.09869271656371
Pelmo Park-Humberlea,109,023,60,24,24,12,4,1,6,67,40,10722,2547,1745,1370,1590,9.3,820,4930,25,4675,750,230,1200,485,55,705,45,30,20,6035,6,5535,3445,2265,16.274948703600074,12.777466890505504,14.829322887520984,7.647826897966797,45.980227569483304,0.2331654542063048,43.601939936579,6.9949636261891435,2.145122178698004,11.19194180190263,4.5234098116023125,0.5129639992538706,6.575265808617795,0.4196978175713486,0.27979854504756574,0.18653236336504384,56.28614064540197,51.62283156127588,32.1301995896288,21.124790151091215
Playter Estates-Danforth,110,067,77,7,24,11,3,0,0,77,21,7804,8671,1150,735,1220,12.7,125,1795,80,1560,240,505,190,90,40,60,25,40,130,6085,6.4,3930,4475,1090,14.736032803690415,9.41824705279344,15.633008713480267,1.601742696053306,23.001025115325476,1.0251153254741157,19.989748846745258,3.075345976422348,6.471040492055356,2.434648898001025,1.1532547411583802,0.5125576627370578,0.768836494105587,0.3203485392106612,0.5125576627370578,1.665812403895438,77.97283444387494,50.358790363915936,57.342388518708354,13.967196309584828
Pleasant View,136,046,56,8,32,15,3,0,1,57,26,15818,5273,2050,2080,3195,15.9,145,9765,65,10155,1310,5630,745,610,405,125,480,250,110,5660,10,8225,7325,8515,12.95991907952965,13.14957643191301,20.198508028827916,0.9166772031862435,61.73346820078392,0.41092426349728156,64.1990137817676,8.281704387406752,35.5923631306107,4.709824250853458,3.8563661651283345,2.56037425717537,0.7902389682640031,3.0345176381337717,1.5804779365280062,0.6954102920723227,35.78202048299406,51.997724111771404,46.308003540270576,53.83107851814388
Princess-Rosethorn,31,010,29,24,33,34,2,1,1,31,60,11051,2138,1770,1580,2025,6,165,3360,60,2105,590,500,160,90,20,75,85,220,55,8945,6,5635,6040,1615,16.016650076916118,14.297348656230206,18.324133562573522,1.4930775495430277,30.404488281603477,0.5429372907429192,19.048049950230748,5.338883358972039,4.52447742285766,1.447832775314451,0.8144059361143787,0.1809790969143064,0.678671613428649,0.7691611618858022,1.9907700660573704,0.4976925165143426,80.94290109492354,50.990860555605835,54.65568726812053,14.614062075830242
Regent Park,88,072,121,3,25,19,3,0,5,126,25,10803,16880,1635,1775,730,35.3,285,5015,210,7470,2770,1350,1465,305,250,390,175,75,30,3205,9.6,5265,4570,5095,15.134684809775061,16.430621123761917,6.757382208645748,2.6381560677589557,46.42229010460057,1.9439044709802833,69.14745903915579,25.64102564102564,12.496528742016107,13.561047857076739,2.823289826899935,2.314171989262242,3.6101083032490973,1.6199203924835692,0.6942515967786725,0.27770063871146905,29.66768490234194,48.73646209386281,42.30306396371378,47.1628251411645
Rexdale-Kipling,104,004,72,23,16,16,0,0,4,76,39,10529,4229,1640,1355,1730,15.8,850,4975,115,5365,1420,165,1470,515,110,170,215,10,35,4990,10.9,5390,3505,2530,15.576028112831228,12.869218349320924,16.430810143413428,8.072941399943016,47.250451134960585,1.0922214835217021,50.9545066008168,13.486560926963625,1.5671003894007027,13.961439832842625,4.891252730553709,1.0447335929338017,1.6145882799886029,2.041979295279704,0.09497578117580018,0.3324152341153006,47.392914806724285,51.19194605375629,33.28901130211796,24.028872637477445
Rockcliffe-Smythe,116,111,142,34,38,61,4,0,3,145,99,22246,4414,3505,2740,3655,18.5,2200,11020,300,10225,990,465,3400,785,145,1285,85,55,90,12000,9.2,11515,6170,3755,15.755641463633912,12.316821001528364,16.429919985615392,9.889418322395036,49.53699541490605,1.3485570439629597,45.963319248404204,4.450238245077767,2.0902634181425874,15.283646498246876,3.5287242650364115,0.6518025712487638,5.776319338308011,0.3820911624561719,0.2472354580598759,0.4045671131888879,53.942281758518384,51.76211453744494,27.735323204171536,16.87943900026971
Roncesvalles,60,086,133,12,45,36,3,0,3,136,51,14974,9851,2300,1305,1680,19.3,290,4395,190,3795,835,560,770,300,60,315,30,70,95,11080,6.7,7505,7620,2205,15.359957259249365,8.715106184052356,11.219447041538668,1.936690263122746,29.35087484973955,1.2688660344597302,25.34392947776145,5.576332309336183,3.739815680512889,5.142246560705222,2.0034726859890477,0.40069453719780956,2.1036463202885,0.20034726859890478,0.4674769600641111,0.6344330172298651,73.99492453586217,50.12020836115935,50.88820622412181,14.7255242420195
Rosedale-Moore Park,75,098,108,12,60,20,9,0,1,109,41,20923,4500,2625,2185,5140,9.7,270,5495,150,3740,605,1150,395,210,155,45,235,300,135,16880,6,11270,13740,2680,12.546002007360322,10.443053099459924,24.566266787745544,1.2904459207570615,26.262964202074272,0.7169144004205897,17.875065717153372,2.8915547483630455,5.496343736557855,1.8878745877742198,1.0036801605888257,0.7408115471012761,0.21507432012617694,1.1231658939922573,1.4338288008411795,0.6452229603785308,80.67676719399704,53.86416861826698,65.66935907852603,12.80887062084787
Rouge,98,131,148,22,76,34,13,0,6,154,69,46496,1260,7960,6700,6625,7.8,495,25575,255,37315,20175,2100,6525,4095,395,295,535,65,105,8750,8.2,24000,18145,27370,17.119752236751548,14.40984170681349,14.24853750860289,1.0646077081899519,55.004731589814185,0.5484342739160357,80.2542154163799,43.390829318651065,4.516517549896766,14.033465244322091,8.807209222298692,0.8495354439091534,0.6344631796283551,1.1506366139022712,0.13979697178251893,0.2258258774948383,18.818823124569857,51.6173434273916,39.02486235375086,58.865278733654506
Runnymede-Bloor West Village,54,089,41,11,22,16,1,0,0,41,28,10070,6333,2050,960,1245,5.8,120,2335,125,1600,245,365,215,145,20,50,25,115,135,8465,5.1,5280,5435,1080,20.357497517378352,9.533267130089374,12.363455809334658,1.1916583912611718,23.187686196623638,1.2413108242303872,15.888778550148958,2.432969215491559,3.624627606752731,2.1350546176762664,1.4399205561072492,0.19860973187686196,0.49652432969215493,0.24826216484607747,1.1420059582919564,1.3406156901688182,84.06156901688183,52.43296921549155,53.97219463753724,10.724925521350546
Rustic,14,028,83,10,17,9,3,0,8,91,22,9941,4734,1940,1405,1865,24.2,735,5105,45,5810,420,135,3455,355,45,260,30,0,0,3945,9.1,5490,2265,1200,19.5151393219998,14.133386983200886,18.760688059551352,7.39362237199477,51.352982597324214,0.4526707574690675,58.444824464339604,4.224927069711296,1.3580122724072026,34.7550548234584,3.5710693089226435,0.4526707574690675,2.6154310431546124,0.30178050497937836,0,0,39.68413640478825,55.225832411226236,22.784428125943066,12.071220199175134
Scarborough Village,15,139,191,9,34,25,2,6,3,200,36,16724,5395,3365,2360,2225,25.7,280,8975,210,12065,5520,390,3330,950,140,70,570,20,20,4370,13,8725,5700,7540,20.120784501315477,14.111456589332697,13.304233436976801,1.6742406122937097,53.66539105477158,1.2556804592202824,72.14183209758431,33.00645778521884,2.33197799569481,19.911504424778762,5.68045922028223,0.8371203061468548,0.4185601530734274,3.408275532169337,0.1195886151638364,0.1195886151638364,26.130112413298257,52.170533365223626,34.08275532169338,45.084907916766326
South Parkdale,16,085,220,23,68,34,9,1,7,228,66,21849,9583,2115,2275,2540,27.1,515,8920,470,9920,1830,680,2105,1505,165,680,145,100,60,10730,8.6,10895,9975,5000,9.68007689139091,10.412375852441759,11.625246006682229,2.3570872808824204,40.82566707858483,2.151128198086869,45.402535585152634,8.375669367019086,3.112270584466108,9.634308206325231,6.888187102384548,0.755183303583688,3.112270584466108,0.6636459334523319,0.4576868506567806,0.2746121103940684,49.10979907547256,49.86498237905625,45.65426335301387,22.88434253283903
South Riverdale,17,070,228,27,149,45,22,3,7,238,94,27876,3136,3975,2445,3330,17.6,310,8210,510,11225,1170,5800,1380,565,160,650,130,165,175,15815,6.5,13940,13655,8655,14.259578131726217,8.770985794231597,11.945759793370641,1.1120677285119815,29.45185822930119,1.829530779164873,40.26761371789353,4.1971588463194145,20.80642846893385,4.9504950495049505,2.026833118094418,0.5739704405223132,2.331754914621897,0.4663509829243794,0.5919070167886353,0.6277801693212799,56.73339073037739,50.007174630506526,48.98478978332616,31.048213517003877
St.Andrew-Windfields,18,040,56,10,57,24,9,0,2,58,43,17812,2430,2645,2540,3235,13.4,305,8835,50,8940,1075,3845,660,395,185,70,1120,820,145,8735,8.3,9290,10180,7470,14.849539636200316,14.260049404895575,18.161913316865036,1.7123287671232876,49.601392319784416,0.2807096339546373,50.19088255108915,6.035257130024703,21.58657085111161,3.7053671682012124,2.2176061082416347,1.038625645632158,0.3929934875364922,6.287895800583875,4.603637996856052,0.8140579384684482,49.039973051875144,52.15584998877162,57.152481473164165,41.93801931282282
Steeles,127,116,45,30,48,16,2,0,0,45,48,24623,5436,3150,2685,5755,19.9,30,17440,10,22075,1560,17755,595,595,515,170,110,120,60,2200,9.5,12890,9335,20370,12.792917191243959,10.904438939203184,23.372456646225075,0.1218373065832758,70.828087560411,0.0406124355277586,89.65195142752711,6.335539942330342,72.1073792795354,2.4164399139016366,2.4164399139016366,2.091540429679568,0.6904114039718962,0.44673679080534456,0.4873492263331032,0.2436746131665516,8.934735816106892,52.349429395280836,37.911708565162655,82.72753117004427
Stonegate-Queensway,5,016,78,14,49,13,4,0,0,78,31,25051,3199,4060,2495,4165,9.5,400,8635,155,4595,925,565,585,510,110,275,175,230,150,20310,6.7,12755,12685,2830,16.206937846792542,9.959682248213644,16.626082791106146,1.5967426450041913,34.469681849027985,0.6187377749391242,18.34258113448565,3.6924673665721928,2.2553989860684203,2.33523611831863,2.0358468723803442,0.4391042273761527,1.0977605684403817,0.6985749071893338,0.91812702087741,0.5987784918765718,81.07460780008782,50.91613109257116,50.63670112969542,11.296954213404655
Tam O'Shanter-Sullivan,6,118,100,21,62,24,8,0,2,102,53,27446,5073,3885,3225,6160,19.1,360,16725,145,20325,4690,8665,1860,2145,570,165,425,255,175,6705,9.1,14700,11340,16520,14.155068133789989,11.750346134227211,22.44407199591926,1.3116665452160607,60.93784157982949,0.52831013626758,74.05450703199008,17.088100269620345,31.571085039714347,6.776943816949646,7.815346498579028,2.0768053632587624,0.6011804998906944,1.5484952269911827,0.9290971361947096,0.6376156817022517,24.42978940464913,53.55971726298914,41.317496174305916,60.19092035269256
Taylor-Massey,19,061,98,7,42,17,5,1,2,101,29,15683,15528,2950,1690,1705,27.3,215,8705,225,10355,5975,675,1535,670,115,175,260,160,55,5125,11.5,7985,6960,7970,18.810176624370335,10.775999489893515,10.871644455780144,1.3709111777083467,55.505961869540265,1.4346744882994324,66.02690811706944,38.098578078173816,4.304023464898298,9.787668175731683,4.272141809602754,0.7332780717974877,1.115857935344003,1.6578460753682331,1.0202129694573743,0.3506982082509724,32.67869667793152,50.91500350698208,44.379264171395775,50.81935854109545
The Beaches,7,063,81,7,77,19,3,0,0,81,29,21567,6058,3825,2075,2955,8.2,215,4225,305,2980,645,615,345,230,90,160,55,115,110,18465,5.7,11340,12290,1930,17.73542912783419,9.621180507256456,13.70148838503269,0.9968934019566931,19.59011452682339,1.4141976167292623,13.817406222469513,2.9906802058700794,2.8515788009458896,1.5996661566281818,1.066444104418788,0.4173042147725692,0.7418741595956786,0.2550192423610145,0.533222052209394,0.510038484722029,85.61691473083877,52.58033106134372,56.98520888394306,8.948857050122873
Thistletown-Beaumond Heights,8,003,46,15,23,15,1,0,2,48,31,10360,3130,1730,1410,1880,14.7,660,5465,50,6510,2555,110,1645,305,380,120,250,40,15,3615,10.4,5285,3410,3395,16.698841698841697,13.610038610038611,18.146718146718147,6.370656370656371,52.75096525096525,0.4826254826254826,62.83783783783784,24.66216216216216,1.0617760617760617,15.878378378378377,2.9440154440154442,3.667953667953668,1.1583011583011582,2.413127413127413,0.3861003861003861,0.14478764478764478,34.89382239382239,51.01351351351351,32.915057915057915,32.77027027027027
Thorncliffe Park,9,055,88,4,24,15,11,1,1,90,30,21108,6787,5600,2455,2365,36.4,305,13270,100,16495,9845,435,1115,1505,685,95,1795,130,20,4345,12.6,10790,7650,13825,26.53022550691681,11.630661360621565,11.20428273640326,1.4449497820731476,62.86715937085465,0.47375402690922874,78.14572673867728,46.64108394921357,2.060830017055145,5.2823574000379,7.129998104983892,3.2452150843282164,0.45006632556376724,8.503884783020656,0.6158802349819974,0.09475080538184574,20.584612469205986,51.118059503505776,36.242183058556,65.49649422020087
Trinity-Bellwoods,38,081,130,21,46,18,2,1,4,135,41,16556,9570,1745,1630,2350,17.6,190,5810,125,4820,280,3225,320,140,65,165,50,65,80,11410,6.1,8340,7710,4005,10.539985503744866,9.845373278569703,14.194249818796811,1.1476201981154868,35.093017637110414,0.7550132882338729,29.11331239429814,1.6912297656438753,19.479342836433922,1.9328340178787147,0.8456148828219376,0.3926069098816139,0.9966175404687123,0.3020053152935491,0.3926069098816139,0.48320850446967867,68.91761294998791,50.374486590964,46.569219618265286,24.190625755013286
University,61,079,154,13,51,38,7,0,0,154,58,7607,5395,565,1485,1320,26.4,120,2015,80,2205,395,835,180,140,40,80,40,165,105,4470,8.3,3835,4290,1760,7.427369528066255,19.52149336137768,17.352438543446823,1.5774944130406205,26.488760352307082,1.0516629420270804,28.986459839621403,5.192585776258709,10.976731957407651,2.366241619560931,1.8404101485473907,0.5258314710135402,1.0516629420270804,0.5258314710135402,2.169054817930853,1.3803076114105428,58.761666885763105,50.41409228342316,56.39542526620218,23.136584724595767
Victoria Village,39,043,129,20,22,12,4,1,3,133,36,17510,3710,2630,2030,3405,20.1,430,9185,240,10155,2985,730,2075,1240,1070,95,720,160,75,7035,10.1,9395,7115,6005,15.019988577955454,11.593375214163336,19.446030839520272,2.455739577384352,52.45573957738435,1.3706453455168475,57.99543118218161,17.04740148486579,4.169046259280411,11.850371216447744,7.081667618503712,6.110793832095945,0.5425471159337522,4.111936036550542,0.9137635636778983,0.4283266704740148,40.177041690462595,53.6550542547116,40.63392347230154,34.294688749286124
Waterfront Communities-The Island,40,077,866,38,213,72,58,0,8,874,168,65913,8943,3650,7840,4635,16,1405,23820,625,28895,6735,9020,3650,1380,1440,675,1300,1055,555,36715,5.2,32645,50655,20720,5.537602597363191,11.894466948856826,7.031996722952984,2.131597712135694,36.13854626553184,0.9482196228361628,43.838089602961475,10.21801465568249,13.6847055967715,5.537602597363191,2.0936689272222475,2.184698011014519,1.0240771926630559,1.9722968154992186,1.6005947233474427,0.8420190250785127,55.702213523887544,49.52740733997846,76.85130399162531,31.43537693626447
West Hill,41,136,422,15,72,77,8,0,6,428,100,27392,2856,4635,3950,4240,20.8,555,13345,605,17075,5060,685,5835,2330,115,215,510,80,55,9885,11.6,14300,9555,8935,16.9209988317757,14.420268691588786,15.478971962616821,2.0261390186915884,48.718603971962615,2.2086740654205608,62.335718457943926,18.472546728971963,2.5007301401869158,21.301839953271028,8.506133177570094,0.41983060747663553,0.7849007009345795,1.861857476635514,0.29205607476635514,0.20078855140186913,36.08717873831775,52.20502336448598,34.88244742990654,32.619012850467286
West Humber-Clairville,42,001,296,320,131,92,41,4,12,312,453,33312,1117,5060,5445,4980,13.8,1300,19230,150,26945,13920,470,6260,1615,240,490,300,60,60,5940,9.6,16710,11995,16915,15.189721421709896,16.345461095100863,14.949567723342941,3.9024975984630164,57.726945244956774,0.45028818443804036,80.88676753121999,41.78674351585015,1.4109029779058597,18.792026897214217,4.848102785782901,0.7204610951008645,1.4709414024975986,0.9005763688760807,0.18011527377521613,0.18011527377521613,17.8314121037464,50.16210374639769,36.0080451488953,50.777497598463015
Westminster-Branson,43,035,113,24,19,12,7,0,3,116,43,26274,7339,3440,3355,5130,20.3,450,18155,50,11715,720,775,1050,5990,270,120,850,925,105,14410,9.2,14240,13505,9485,13.092791352668037,12.769277612849205,19.525005709065997,1.712719799040877,69.09872878130471,0.19030219989343075,44.58780543503083,2.7403516784654034,2.9496840983481767,3.9963461977620462,22.798203547233005,1.027631879424526,0.4567252797442339,3.235137398188323,3.5205906980284687,0.39963461977620457,54.84509400928674,54.19806652964908,51.40062419121565,36.100327319783815
Weston,119,113,183,40,44,43,4,4,13,200,87,17992,7197,3100,2225,2445,25.1,1390,8690,200,10755,765,335,6045,590,120,550,145,75,65,6925,10.6,9475,5705,2525,17.229879946642953,12.366607381058248,13.589373054690974,7.7256558470431305,48.29924410849266,1.1116051578479325,59.77656736327257,4.251889728768341,1.8619386393952868,33.59826589595375,3.2792352156514006,0.6669630947087595,3.056914184081814,0.8059137394397511,0.41685193419297467,0.36127167630057805,38.48932859048466,52.6622943530458,31.708537127612274,14.034015117830148
Weston-Pellam Park,91,091,83,16,15,15,8,1,4,88,39,11098,7601,1675,1415,1325,18.5,780,5370,170,4210,410,285,1255,315,80,495,30,10,30,6885,8.5,5500,3225,1575,15.09280951522797,12.750045053162731,11.939088123986304,7.028293386195711,48.38709677419355,1.5318075328888088,37.93476302036403,3.694359344025951,2.568030275725356,11.308343845737971,2.8383492521174984,0.7208506037123805,4.460263110470355,0.27031897639214275,0.09010632546404757,0.27031897639214275,62.03820508199676,49.55847900522617,29.059289962155344,14.191746260587493
Wexford/Maryvale,77,119,202,44,75,25,13,2,4,208,82,27917,2724,4215,3650,4715,15.4,600,13905,200,15285,4195,1910,2055,3405,1185,215,535,190,70,12270,9,14340,10255,10520,15.098327184153023,13.07447075258803,16.889350574918506,2.14922806891858,49.80836049718809,0.7164093563061934,54.75158505570082,15.026686248522406,6.8417093527241475,7.361106136046137,12.196869291112943,4.244725436114195,0.7701400580291579,1.9163950281190674,0.6805888884908837,0.2507432747071677,43.951714009384965,51.366550847154066,36.73388974460006,37.68313214170577
Willowdale East,96,051,159,44,75,41,13,0,0,159,98,50434,10087,5920,6940,6270,26.7,825,31040,105,37715,3375,16980,1135,845,1320,385,5985,5255,665,12545,8.5,26730,31815,33490,11.738113177618272,13.760558353491692,12.43208946345719,1.6358012451917356,61.545782606971486,0.20819288575167544,74.78090177261372,6.691914184875282,33.667763810128086,2.2504659555062063,1.6754570329539598,2.617281992306777,0.76337391442281,11.866994487845501,10.41955823452433,1.3185549430939445,24.874092873854938,52.99996034421224,63.082444382757664,66.40361660784392
Willowdale West,97,037,86,11,38,10,4,0,1,87,25,16936,5820,1785,2230,3370,23.6,190,9390,95,9630,860,3655,220,265,190,170,1730,1930,145,7040,9.8,8960,9905,8755,10.539678790741617,13.167217760982522,19.898441190363723,1.1218705715635333,55.444024563060935,0.5609352857817667,56.86112423240435,5.077940481813887,21.581247047709024,1.2990080302314597,1.564714218233349,1.1218705715635333,1.0037789324515825,10.214926783183751,11.395843174303259,0.8561643835616438,41.56825696740671,52.90505432215399,58.484884270193675,51.694615021256496
Willowridge-Martingrove-Richview,111,007,104,49,35,56,5,0,5,109,110,22156,4007,3555,2625,4905,11.2,935,10030,85,8870,2340,515,2960,645,135,110,150,410,90,13270,8.5,11520,8805,4260,16.045315038815673,11.847806463260516,22.138472648492506,4.220075825961365,45.26990431485828,0.38364325690557866,40.03430222061744,10.561473190106517,2.324426791839682,13.359812240476622,2.9111753024011553,0.6093157609676837,0.4964795089366311,0.6770175121863152,1.8505145333092616,0.4062105073117891,59.89348257808269,51.994944935909004,39.7409279653367,19.22729734609135
Woburn,112,137,365,32,80,73,14,1,4,370,119,53485,4345,9625,7660,8010,22.4,745,30185,440,40510,21545,3715,5835,4090,610,315,1320,210,100,12495,10.6,27540,19515,31295,17.995699728895953,14.321772459568102,14.976161540618865,1.3929139010937646,56.43638403290642,0.8226605590352435,75.7408619239039,40.28232214639619,6.945872674581659,10.90960082266056,7.647003832850332,1.1405066841170421,0.5889501729456857,2.4679816771057306,0.3926334486304571,0.18696830887164625,23.3616901935122,51.49107226325138,36.486865476301766,58.5117322613817
Woodbine Corridor,133,064,78,9,52,6,6,0,1,79,21,12541,7838,2325,1035,1380,13.9,140,2935,280,3380,610,1025,775,235,40,75,30,50,100,9050,7.7,6520,6205,2125,18.53919145203732,8.25293038832629,11.003907184435054,1.1163384100151503,23.403237381389044,2.2326768200303007,26.95159875608006,4.864045929351726,8.173191930468064,6.179730484012439,1.873853759668288,0.31895383143290007,0.5980384339366877,0.23921537357467507,0.39869228929112516,0.7973845785822503,72.16330436169365,51.98947452356272,49.47771310102863,16.94442229487282
Woodbine-Lumsden,113,060,36,2,14,3,6,0,1,37,11,7865,6722,1165,675,1095,13.5,155,2190,190,2435,345,730,475,290,45,55,30,65,70,5415,6.6,4040,3605,1585,14.812460267005722,8.582326764144947,13.922441195168467,1.9707565162110616,27.844882390336934,2.4157660521296886,30.959949141767325,4.386522568340751,9.281627463445645,6.039415130324221,3.6872218690400507,0.5721551176096631,0.6993006993006993,0.3814367450731087,0.8264462809917356,0.8900190718372537,68.84933248569612,51.36681500317864,45.83598219961856,20.152574698029245
Wychwood,137,094,80,18,30,9,4,0,0,80,31,14349,8541,1860,1320,3150,15.6,445,4345,180,3635,255,805,865,440,95,165,55,135,60,9605,5.2,7715,6815,1915,12.962575789253606,9.199247334309012,21.95274932051014,3.1012614119450834,30.28085580876716,1.2544428183148653,25.332775803191858,1.777127325946059,5.610147048574814,6.028294654679769,3.0664157781030035,0.6620670429995121,1.1499059167886265,0.38330197226287543,0.940832113736149,0.41814760610495505,66.93846261063489,53.766813018328804,47.49459892675448,13.345877761516482
Yonge-Eglinton,129,100,67,4,19,14,2,0,0,67,20,11817,7162,1800,1225,1600,11.1,220,3180,95,3155,445,980,295,290,105,75,215,250,115,8650,6.9,6300,7765,2370,15.232292460015232,10.366421257510366,13.53981552001354,1.8617246340018618,26.91038334602691,0.803926546500804,26.698823728526698,3.7657611915037656,8.293137006008292,2.4964034865024964,2.454091563002454,0.8885503935008886,0.6346788525006346,1.8194127105018194,2.115596175002116,0.9731742405009732,73.1996276550732,53.313023610053314,65.71041719556571,20.055851739020056
Yonge-St.Clair,1,097,34,7,12,6,7,0,1,35,20,12528,10708,1210,920,2905,12.1,160,3580,95,2555,560,575,235,230,125,50,190,135,115,9740,5.9,6875,8545,1855,9.658365261813538,7.343550446998723,23.188058748403577,1.277139208173691,28.575989782886335,0.758301404853129,20.394316730523627,4.469987228607918,4.589719029374202,1.8757982120051087,1.8358876117496807,0.9977650063856961,0.3991060025542784,1.516602809706258,1.0775862068965518,0.9179438058748404,77.74584929757343,54.87707535121328,68.20721583652617,14.806832694763731
York University Heights,2,027,363,106,98,70,38,2,4,369,214,27593,2086,4045,4750,3530,22.5,1765,15595,170,19135,4180,1500,5205,2645,280,1375,605,390,30,8430,10.7,13955,10085,10725,14.659515094408002,17.214510926684305,12.793099699199074,6.396549849599537,56.51795745297721,0.6160982857971224,69.34729822781141,15.148769615482188,5.436161345268728,18.863479868082482,9.585764505490522,1.0147501177834959,4.9831478998296665,2.1925850759250536,1.4134019497698693,0.10872322690537455,30.55122676041025,50.57442104881673,36.54912477802341,38.868553618671406
Yorkdale-Glen Park,4,031,175,41,66,24,26,1,3,179,91,14804,2451,1960,1870,3295,13.9,710,7265,70,6340,865,850,1460,1110,50,535,50,55,40,7695,8,7945,4480,3505,13.239664955417455,12.631721156444204,22.25749797352067,4.796001080788976,49.074574439340715,0.4728451769791948,42.826263172115645,5.843015401242908,5.7416914347473655,9.862199405566063,7.49797352067009,0.33774655498513917,3.613888138340989,0.33774655498513917,0.37152121048365305,0.27019724398811135,51.97919481221292,53.66792758713861,30.262091326668468,23.676033504458253
