nta_id,nta_name,pop_white_pct_est,pop_black_pct_est,pop_hisp_pct_est,pop_asian_pct_est,pop_ba_above_pct_est,pop_inpov_pct_est,n_arrest,n_violent_arrest,n_theft_arrest,n_crime,n_violent_crime,n_theft_crime,pop_total_est
BK77,Bushwick North,0.17776329422774825,0.0974631505063672,0.634346067716167,0.07067415354791269,0.27071837384184994,0.28215941931581423,2068,438,487,3272,583,1152,59838
BK78,Bushwick South,0.16588923979544642,0.26136078332914886,0.517369874598623,0.03907395906285926,0.2568546301086394,0.2662855924637913,2314,423,363,4854,826,1568,75677
BK79,Ocean Hill,0.05412770351672308,0.7154494865469566,0.20368883024496587,0.015403591302851242,0.1959890610756609,0.2928755315148535,1912,297,292,3058,614,791,34862
BK81,Brownsville,0.01211654293318392,0.7390040621935845,0.21818532007283933,0.014812999019470514,0.10627549504281816,0.4308194721070858,4479,938,804,6208,1388,1341,57112
BK82,East New York,0.01901983423363985,0.6512824213434497,0.2802461754154468,0.026988577790606573,0.14870029948541458,0.29947892289931044,5988,1384,1453,9497,1728,3003,97004
BK83,Cypress Hills-City Line,0.033556092705815443,0.24994414088683958,0.6010846824155511,0.08711990412544941,0.12808750882145378,0.24192561781257646,985,159,224,2454,416,859,49231
BK85,East New York (Pennsylvania Ave),0.01834831270137358,0.7319993216889944,0.2238765473969815,0.009089367474987281,0.12368778895838999,0.33253326018378826,1576,314,247,2819,605,742,29485
BK88,Borough Park,0.7662950745080196,0.010455769157850832,0.08732415728206878,0.12671103022030106,0.19457660266656637,0.37118233183171717,916,223,225,2098,267,807,105492
BK90,East Williamsburg,0.43280621521846935,0.0905835032233181,0.2870130585707201,0.1651881646371701,0.44189327408034423,0.1946217837105823,1691,303,505,2713,357,1147,36298
BK91,East Flatbush-Farragut,0.01868982442892203,0.8800075514442137,0.06256371531055314,0.018821974702661885,0.24059783933067988,0.13355036529507514,1197,246,120,2676,515,683,52970
BK93,Starrett City,0.20599250936329588,0.5774962148378356,0.17395808430950674,0.027890668579169654,0.1860843177630866,0.29841802492809205,97,23,11,460,65,175,12549
BK95,Erasmus,0.05483430133242227,0.818483088486505,0.0927912538435258,0.016774854800136657,0.24205554699933263,0.18761862038027538,2041,591,396,2341,448,573,29270
